time,1,2,s_2,3,20,21,22,23,9,10,s_10,11,12,r_12,13
12:00 - 12:59,77,73.66666667,70,74,67,74,80,78,99,77,53,39,22.5,33,54
13:00 - 13:59,65,90,69,68,64,73,81,79,99,79,50,24,17,26,53
14:00 - 14:59,92,99.33333333,70,89,76,81,86,85,99,79,47,35,20.5,28,54
15:00 - 15:59,100,93,71,101,89,90,91,89,96,74,45,66,32,43,57
16:00 - 16:59,68,80.66666667,70,61,51,57,63,64,96,58,36,15,9,20,49
17:00 - 17:59,54,71,71,51,42,52,61,62,62,30,24,9,6.5,14,46
18:00 - 18:59,106,94.66666667,74,106,90,91,92,91,87,71,45,58,27,39,58
19:00 - 19:59,112,109.6666667,75,91,87,92,97,97,109,87,58,79,45.5,48,60
20:00 - 20:59,114,71.66666667,74,115,104,107,109,109,108,85,55,76,44.5,46,61
21:00 - 21:59,117,98.33333333,75,118,107,110,113,113,108,85,56,76,45.5,47,62
22:00 - 22:59,117,107.3333333,76,120,109,112,115,115,110,87,55,79,45,48,63
23:00 - 23:59,114,108,76,117,108,112,116,114,110,87,57,77,45,49,63
,,,,,,,,,,,,,,,
lengte,500,350,300,700,300,300,300,300,300,300,300,600,300,300,450
